name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Ülker Napoliten 33 G,,https://www.migros.com.tr/ulker-napoliten-33-g-p-6d4c8c,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle Classic Sütlü Kare Çikolata 60 G,,https://www.migros.com.tr/nestle-classic-sutlu-kare-cikolata-60-g-p-6b615a,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Ülker Bol Sütlü Kare Çikolata 60 G,,https://www.migros.com.tr/ulker-bol-sutlu-kare-cikolata-60-g-p-6b644e,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Milka Çilekli Yoğurtlu Çikolata 100 G,,https://www.migros.com.tr/milka-cilekli-yogurtlu-cikolata-100-g-p-6b6e92,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Ülker Bütün Antep Fıstıklı Sütlü Kare Çikolata 65G,,https://www.migros.com.tr/ulker-butun-antep-fistikli-sutlu-kare-cikolata-65g-p-6b56c8,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Toblerone Sütlü Çikolata 100 G,,https://www.migros.com.tr/toblerone-sutlu-cikolata-100-g-p-6b6f2a,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Milka Çikolata Rüyası 100 G,,https://www.migros.com.tr/milka-cikolata-ruyasi-100-g-p-6b6e26,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Milka Fındıklı Çikolata 80 G,,https://www.migros.com.tr/milka-findikli-cikolata-80-g-p-6b6e8d,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Milka Oreo Sandwich Kakaolu Bisküvili Çikolata 92 G,,https://www.migros.com.tr/milka-oreo-sandwich-kakaolu-biskuvili-cikolata-92-g-p-6b822e,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Milka Oreolu Çikolata 100 G,,https://www.migros.com.tr/milka-oreolu-cikolata-100-g-p-6b930e,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Tadelle Fındık Dolgulu Sütlü Çikolata 30 G,,https://www.migros.com.tr/tadelle-findik-dolgulu-sutlu-cikolata-30-g-p-6d4e82,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Milka Üzümlü Fındıklı Çikolata 80 G,,https://www.migros.com.tr/milka-uzumlu-findikli-cikolata-80-g-p-6b6e8e,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Ülker Napoliten Tuzlu Karamelli Sütlü Çikolata 33G,,https://www.migros.com.tr/ulker-napoliten-tuzlu-karamelli-sutlu-cikolata-33g-p-6b67ba,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Tadelle 3'lü Paket 3X30 G,,https://www.migros.com.tr/tadelle-3lu-paket-3x30-g-p-6d4dd0,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Ülker Caramio Karamel Dolgulu Sütlü Çikolata 32 G,,https://www.migros.com.tr/ulker-caramio-karamel-dolgulu-sutlu-cikolata-32-g-p-6b6096,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle Damak Antep Fıstıklı Sütlü Kare Çikolata 60 G,,https://www.migros.com.tr/nestle-damak-antep-fistikli-sutlu-kare-cikolata-60-g-p-6b56c3,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Godiva Extra Sütlü Çikolata Kare 60 G,,https://www.migros.com.tr/godiva-extra-sutlu-cikolata-kare-60-g-p-6b7be7,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Godiva Antep Fıstıklı & Karamelli Sütlü Çikolata Kare 60 G,,https://www.migros.com.tr/godiva-antep-fistikli-karamelli-sutlu-cikolata-kare-60-g-p-6b7be6,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle 1927 Bal Bademli Sütlü Çikolata 60 G,,https://www.migros.com.tr/nestle-1927-bal-bademli-sutlu-cikolata-60-g-p-6b57f8,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Milka Oreo Choco Sütlü Çikolata Kaplı Bisküvi Parçaları 100G,,https://www.migros.com.tr/milka-oreo-choco-sutlu-cikolata-kapli-biskuvi-parcalari-100g-p-6b807d,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Toblerone Crunchy Almonds Çikolata 100 G,,https://www.migros.com.tr/toblerone-crunchy-almonds-cikolata-100-g-p-6b681d,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle 1927 Bol Sütlü Kare Çikolata 60 G,,https://www.migros.com.tr/nestle-1927-bol-sutlu-kare-cikolata-60-g-p-6b1643,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Ülker Bol Sütlü Baton Çikolata 30 G,,https://www.migros.com.tr/ulker-bol-sutlu-baton-cikolata-30-g-p-6b8744,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Milka Sütlü Çikolata 80 G,,https://www.migros.com.tr/milka-sutlu-cikolata-80-g-p-6b6e8b,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Eti Keyfince Bol Sütlü Çikolata 70 g,,https://www.migros.com.tr/eti-keyfince-bol-sutlu-cikolata-70-g-p-6b45e1,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Eti İçibol %27 Antep Fıstıklı Çikolata 30 g,,https://www.migros.com.tr/eti-icibol-27-antep-fistikli-cikolata-30-g-p-6b537b,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Migros Sütlü Çikolata Tablet 80 G,,https://www.migros.com.tr/migros-sutlu-cikolata-tablet-80-g-p-6b503a,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle Damak Antep Fıstıklı Sütlü Baton Çikolata 30G,,https://www.migros.com.tr/nestle-damak-antep-fistikli-sutlu-baton-cikolata-30g-p-6b53e1,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Ülker Çikolata Fındık Rüyası 40.5 G,,https://www.migros.com.tr/ulker-cikolata-findik-ruyasi-405-g-p-6b607e,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Ülker Fındıklı Üzümlü Bol Sütlü Çikolata 60G,,https://www.migros.com.tr/ulker-findikli-uzumlu-bol-sutlu-cikolata-60g-p-6b6a5a,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Toblerone Fruit&Nut 100 G,,https://www.migros.com.tr/toblerone-fruitnut-100-g-p-6b46c7,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle Damak Antep Fıstıklı Sütlü Kare Çikolata 60 G,,https://www.migros.com.tr/nestle-damak-antep-fistikli-sutlu-kare-cikolata-60-g-p-6b5f88,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle Damak Antep Fıstıklı Sütlü Çikolata Dikdörtgen 70 G,,https://www.migros.com.tr/nestle-damak-antep-fistikli-sutlu-cikolata-dikdortgen-70-g-p-6b4664,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle Classic Bol Sütlü Dikdörtgen Çikolata 65G,,https://www.migros.com.tr/nestle-classic-bol-sutlu-dikdortgen-cikolata-65g-p-6b53d9,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle Caramel Macchiato Kare Çikolata 60G,,https://www.migros.com.tr/nestle-caramel-macchiato-kare-cikolata-60g-p-6b5f84,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Nestle Limon Cheesecake Aromalı Beyaz Çikolata 60G,,https://www.migros.com.tr/nestle-limon-cheesecake-aromali-beyaz-cikolata-60g-p-6b5f83,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
Eti Karamela Karamel Dolgulu Sütlü Çikolata 30 g,,https://www.migros.com.tr/eti-karamela-karamel-dolgulu-sutlu-cikolata-30-g-p-6b5e30,Atıştırmalık,Çikolata,Sütlü Çikolata,,,,,,,
