name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Prıma Aktif Bebek Aylık Fırsat Paket 6 Beden Xl 13-18 Kg 102'li,,https://www.migros.com.tr/prima-aktif-bebek-aylik-firsat-paket-6-beden-xl-13-18-kg-102li-p-1da8c9b,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
Prıma Premıum Care Ekonomık Paket 5 Beden Junıor 11-16 Kg 42'Lı,,https://www.migros.com.tr/prima-premium-care-ekonomik-paket-5-beden-junior-11-16-kg-42li-p-1daac55,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
Prima Bebek Bezi Aktif Bebek 6 Beden 56 Adet Ekstra Large Mega Fırsat Paketi,,https://www.migros.com.tr/prima-bebek-bezi-aktif-bebek-6-beden-56-adet-ekstra-large-mega-firsat-paketi-p-1dab001,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
Prıma Premıum Care Aylık Fırsat Paket 5 Beden Junıor 11-16 Kg 108'lı,,https://www.migros.com.tr/prima-premium-care-aylik-firsat-paket-5-beden-junior-11-16-kg-108li-p-1da8d87,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
Prıma Aktif Bebek Aylık Fırsat Paket 5 Beden Junıor 11-16 Kg 116'lı,,https://www.migros.com.tr/prima-aktif-bebek-aylik-firsat-paket-5-beden-junior-11-16-kg-116li-p-1daaff4,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
Prima Premium Care Aylık Fırsat Paket 3 Beden Mıdı 6-10 Kg 144'lü,,https://www.migros.com.tr/prima-premium-care-aylik-firsat-paket-3-beden-midi-6-10-kg-144lu-p-1da8d85,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
Prıma Premıum Care Aylık Fırsat Paket 4 Beden Maxı 9-14 Kg 126'lı,,https://www.migros.com.tr/prima-premium-care-aylik-firsat-paket-4-beden-maxi-9-14-kg-126li-p-1da8d86,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
Prıma Aktif Bebek Fırsat Paket 7 Beden Xxl 15+ Kg 34'Lu,,https://www.migros.com.tr/prima-aktif-bebek-firsat-paket-7-beden-xxl-15-kg-34lu-p-1daaff3,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
2.Sİ %60,,https://www.migros.com.tr/molfix-avantajli-paket-5-beden-junior-11-18-kg-30lu-p-1da90bc,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
Sleepy Natural Jumbo Paket 5 Beden Junıor 11-18 Kg 40'Lı,,https://www.migros.com.tr/sleepy-natural-jumbo-paket-5-beden-junior-11-18-kg-40li-p-1dab301,Bebek,Bebek Bezi,Bebek Bezleri,,,,,,,
