name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Omo Actıve Oxygen 40 Yıkama 6 Kg,,https://www.migros.com.tr/omo-active-oxygen-40-yikama-6-kg-p-1cbc71d,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Ariel Dağ Esintisi Renkliler 12 Kg 80 Yıkama,,https://www.migros.com.tr/ariel-dag-esintisi-renkliler-12-kg-80-yikama-p-1cbc71c,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Omo Active Fresh Renkliler Toz Deterjan 50 Yıkama 7.5 Kg,,https://www.migros.com.tr/omo-active-fresh-renkliler-toz-deterjan-50-yikama-75-kg-p-1cbc12c,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Omo Active Fresh Renkliler Toz Deterjan 10 Yıkama 1.5 Kg,,https://www.migros.com.tr/omo-active-fresh-renkliler-toz-deterjan-10-yikama-15-kg-p-1cbbd25,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Omo Active Fresh Beyazlar Toz Deterjan 36 Yıkama 5.5 Kg,,https://www.migros.com.tr/omo-active-fresh-beyazlar-toz-deterjan-36-yikama-55-kg-p-1cbb780,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Omo Active Fresh Beyazlar Toz Deterjan 10 Yıkama 1.5 Kg,,https://www.migros.com.tr/omo-active-fresh-beyazlar-toz-deterjan-10-yikama-15-kg-p-1cbbd22,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Duru Granül Sabun Klasik 1 Kg,,https://www.migros.com.tr/duru-granul-sabun-klasik-1-kg-p-1e22d96,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Omo Active Fresh Beyazlar Toz Çamaşır Deterjanı 3 KG 20 yıkama,,https://www.migros.com.tr/omo-active-fresh-beyazlar-toz-camasir-deterjani-3-kg-20-yikama-p-1cbbd1d,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Omo Active Fresh Toz Çamaşır Deterjanı Renkliler 3 KG 20 Yıkama,,https://www.migros.com.tr/omo-active-fresh-toz-camasir-deterjani-renkliler-3-kg-20-yikama-p-1cbbd20,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Alo Platinum 7 Kg Fairy Etkili Beyazlar Aquapudra Toz Deterjan,,https://www.migros.com.tr/alo-platinum-7-kg-fairy-etkili-beyazlar-aquapudra-toz-deterjan-p-1cbc154,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Migros Color Matik 1.5 Kg 10 Yıkama,,https://www.migros.com.tr/migros-color-matik-15-kg-10-yikama-p-1cbc133,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Duru Granül Sabun Lavanta 1 Kg,,https://www.migros.com.tr/duru-granul-sabun-lavanta-1-kg-p-1e22d95,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
"Persil Toz Çamaşır Deterjanı 1,5kg (10 Yıkama) Gülün Büyüsü",,https://www.migros.com.tr/persil-toz-camasir-deterjani-15kg-10-yikama-gulun-buyusu-p-1cbc085,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Persil Toz Çamaşır Deterjanı Yüksek Performans Hijyen 5 Kg (33 Yıkama),,https://www.migros.com.tr/persil-toz-camasir-deterjani-yuksek-performans-hijyen-5-kg-33-yikama-p-1cbaf48,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Peros Matik Toz Deterjan Göz Alıcı Beyazlar 10 Kg,,https://www.migros.com.tr/peros-matik-toz-deterjan-goz-alici-beyazlar-10-kg-p-1cb9dc4,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Migros Matik 1.5 Kg 10 Yıkama,,https://www.migros.com.tr/migros-matik-15-kg-10-yikama-p-1cbc132,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Ariel Dağ Esintisi 3 Kg AquaPudra Toz Çamaşır Deterjanı,,https://www.migros.com.tr/ariel-dag-esintisi-3-kg-aquapudra-toz-camasir-deterjani-p-1cbc712,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
"Rinso Toz Deterjan Limon ve Karbonat Renkliler ve Beyazlar 1,5 KG",,https://www.migros.com.tr/rinso-toz-deterjan-limon-ve-karbonat-renkliler-ve-beyazlar-15-kg-p-1cbc142,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
"Ariel OXI 1,2 Kg AquaPudra Toz Çamaşır Deterjanı",,https://www.migros.com.tr/ariel-oxi-12-kg-aquapudra-toz-camasir-deterjani-p-1cbc149,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
"Alo 1,5 Kg Kar Çiçeği Ferahlığı Beyazlar ve Renkliler Aquapudra Toz Deterjan",,https://www.migros.com.tr/alo-15-kg-kar-cicegi-ferahligi-beyazlar-ve-renkliler-aquapudra-toz-deterjan-p-1cbbbcb,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Ariel Aquapudra Dağ Esintisi Renkliler 7 Kg,,https://www.migros.com.tr/ariel-aquapudra-dag-esintisi-renkliler-7-kg-p-1cbc700,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Ariel Oxı Ekstra Hijyen 5.5Kg 36 Yıkama,,https://www.migros.com.tr/ariel-oxi-ekstra-hijyen-55kg-36-yikama-p-1cbc70d,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Omo Active Fresh Renkliler Toz Deterjan 36 Yıkama 5.5 Kg,,https://www.migros.com.tr/omo-active-fresh-renkliler-toz-deterjan-36-yikama-55-kg-p-1cbb781,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Rinso Toz Çamaşır Deterjanı Limon ve Karbonat Renkliler ve Beyazlar 6 KG,,https://www.migros.com.tr/rinso-toz-camasir-deterjani-limon-ve-karbonat-renkliler-ve-beyazlar-6-kg-p-1cbc147,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Migros Matik 5 Kg 33 Yıkama,,https://www.migros.com.tr/migros-matik-5-kg-33-yikama-p-1cbc134,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Persil Toz Çamaşır Deterjanı 5kg (33 Yıkama) Color,,https://www.migros.com.tr/persil-toz-camasir-deterjani-5kg-33-yikama-color-p-1cbc70b,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
Persil Toz Çamaşır Deterjanı 5kg (33 Yıkama) Gülün Büyüsü,,https://www.migros.com.tr/persil-toz-camasir-deterjani-5kg-33-yikama-gulun-buyusu-p-1cbc70a,"Deterjan, Temizlik",Çamaşır Yıkama,Çamaşır Deterjanı,Toz Deterjan,,,,,,
