name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Algida Keyif Kakao - Vanilya 750 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/algida-keyif-kakao-vanilya-750-ml-p-b09fc5,Dondurma,Kap Dondurma,,,,,,,,
Algida Maraş Usulü Sade Çikolata Dondurma 500 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/algida-maras-usulu-sade-cikolata-dondurma-500-ml-p-b0ac85,Dondurma,Kap Dondurma,,,,,,,,
Algida Keyif Vanilya 750 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/algida-keyif-vanilya-750-ml-p-b0ac64,Dondurma,Kap Dondurma,,,,,,,,
Carte Dor Kat Kat Limonlu Cheesecake 485 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/carte-dor-kat-kat-limonlu-cheesecake-485-ml-p-b0ae06,Dondurma,Kap Dondurma,,,,,,,,
Algida Maraş Usulü Çifte Dövülmüş Dondurma 500 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/algida-maras-usulu-cifte-dovulmus-dondurma-500-ml-p-b0ad17,Dondurma,Kap Dondurma,,,,,,,,
Vienetta Vanilyalı ve Çikolatalı Dondurma 800 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/vienetta-vanilyali-ve-cikolatali-dondurma-800-ml-p-b0a00f,Dondurma,Kap Dondurma,,,,,,,,
Carte Dor Selectıon Çikolata Karnavalı 800Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/carte-dor-selection-cikolata-karnavali-800ml-p-b0ae33,Dondurma,Kap Dondurma,,,,,,,,
Algida Keyif Vişne - Limon 750 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/algida-keyif-visne-limon-750-ml-p-b0aca8,Dondurma,Kap Dondurma,,,,,,,,
Carte Dor Classic Extra Vişne & Bitter Çikolata & Çikolata Parçacıklı Kaymak 850 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/carte-dor-classic-extra-visne-bitter-cikolata-cikolata-parcacikli-kaymak-850-ml-p-b0ae31,Dondurma,Kap Dondurma,,,,,,,,
Algida Atelier Gelarto Belçika 430 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/algida-atelier-gelarto-belcika-430-ml-p-b0ae05,Dondurma,Kap Dondurma,,,,,,,,
Carte d'Or Classic Extra Bal Badem & Karamel & Kaymak 850 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/carte-dor-classic-extra-bal-badem-karamel-kaymak-850-ml-p-b0ae2d,Dondurma,Kap Dondurma,,,,,,,,
Magnum Crack Classic 440 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/magnum-crack-classic-440-ml-p-b0ad32,Dondurma,Kap Dondurma,,,,,,,,
Carte d'Or Selection Meyve Şöleni 800 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/carte-dor-selection-meyve-soleni-800-ml-p-b0ae3d,Dondurma,Kap Dondurma,,,,,,,,
Carte d'Or Barista Americano - Latte - Madagaskar Vanilya 850 Ml,,https://www.migros.com.tr/carte-dor-barista-americano-latte-madagaskar-vanilya-850-ml-p-b0ae5e,Dondurma,Kap Dondurma,,,,,,,,
Atelier Gelarto Ekvador Çikolatalı Dondurma,Kap/Kutu Dondurma,https://www.migros.com.tr/atelier-gelarto-ekvador-cikolatali-dondurma-p-b0adc8,Dondurma,Kap Dondurma,,,,,,,,
Atelier Gelarto Madagaskar Vanilyalı Dondurma,Kap/Kutu Dondurma,https://www.migros.com.tr/atelier-gelarto-madagaskar-vanilyali-dondurma-p-b0adc9,Dondurma,Kap Dondurma,,,,,,,,
Algida Twister Forest 750 Ml,Kap/Kutu Dondurma,https://www.migros.com.tr/algida-twister-forest-750-ml-p-b0add0,Dondurma,Kap Dondurma,,,,,,,,
