name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Dana Kıymalık Kg,Kıymalık Et,https://www.migros.com.tr/dana-kiymalik-kg-p-17d9f99,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Uzman Kasap Izgara Köfte 320 G,Köfte,https://www.migros.com.tr/uzman-kasap-izgara-kofte-320-g-p-17dee09,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Uzman Kasap Tekirdağ Köfte 320 G,Köfte,https://www.migros.com.tr/uzman-kasap-tekirdag-kofte-320-g-p-17dee1f,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Uzman Kasap Dana Hamburger Köfte 330 G,Burger,https://www.migros.com.tr/uzman-kasap-dana-hamburger-kofte-330-g-p-17dee1e,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana Antrikot Kg,Değerli Et,https://www.migros.com.tr/dana-antrikot-kg-p-17d9f5b,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Minikler İçin Dana Kıyma,Kıymalık Et,https://www.migros.com.tr/minikler-icin-dana-kiyma-p-17da12e,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Uzman Kasap Klasik Köfte 320 G,Köfte,https://www.migros.com.tr/uzman-kasap-klasik-kofte-320-g-p-17dee0c,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana Haşlamalık Et Kg,Kuşbaşılık Et,https://www.migros.com.tr/dana-haslamalik-et-kg-p-17d9f53,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana Stragonof Kg (But Eti),Parça Et,https://www.migros.com.tr/dana-stragonof-kg-but-eti-p-17d9f88,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana Haşlamalık Gerdan Kg,Kemikli Et,https://www.migros.com.tr/dana-haslamalik-gerdan-kg-p-17da19c,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana But Sotelik Et Yöresel Kg,Parça Et,https://www.migros.com.tr/dana-but-sotelik-et-yoresel-kg-p-17da1ee,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana Bonfile Kg,Değerli Et,https://www.migros.com.tr/dana-bonfile-kg-p-17d9f75,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana Rostoluk Et Kg,Kıymalık Et,https://www.migros.com.tr/dana-rostoluk-et-kg-p-17d9f5d,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana Fırınlık Kaburga (Short Ribs),Kemikli Et,https://www.migros.com.tr/dana-firinlik-kaburga-short-ribs-p-17da12f,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana Kontrafile Kg,Değerli Et,https://www.migros.com.tr/dana-kontrafile-kg-p-17d9f5c,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
Dana Güveçlik Kaburga,Kemikli Et,https://www.migros.com.tr/dana-guveclik-kaburga-p-17da24e,"Et, Tavuk, Balık",Kırmızı Et,Dana Eti,,,,,,,
