name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Migros Buzdolabı Poşeti 24X38 Cm 100'Lü,,https://www.migros.com.tr/migros-buzdolabi-poseti-24x38-cm-100lu-p-1e9c178,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
Koroplast Buzdolabı Poşeti Orta Boy 4 Al 3 Öde 120'li,,https://www.migros.com.tr/koroplast-buzdolabi-poseti-orta-boy-4-al-3-ode-120li-p-1e9a7a4,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
Cook Buzdolabı Poşeti (3+1) Orta Boy 24x38 Cm 120'li,,https://www.migros.com.tr/cook-buzdolabi-poseti-31-orta-boy-24x38-cm-120li-p-1e9bb2a,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
Cook Buzdolabı Poşeti Büyük,,https://www.migros.com.tr/cook-buzdolabi-poseti-buyuk-p-1dc27c9,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
Koroplast Orta Boy Buzdolabı Poşeti 50'Li,,https://www.migros.com.tr/koroplast-orta-boy-buzdolabi-poseti-50li-p-1dc134f,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
Cook Buzdolabı Poşeti (3+1) Büyük Boy 30x45 cm 80'li,,https://www.migros.com.tr/cook-buzdolabi-poseti-31-buyuk-boy-30x45-cm-80li-p-1dc27ca,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
Koroplast Büyük Boy Buzdolabı Poşeti 20'li,,https://www.migros.com.tr/koroplast-buyuk-boy-buzdolabi-poseti-20li-p-1e9bb1d,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
Cook Orta Boy Buzdolabı Poşeti,,https://www.migros.com.tr/cook-orta-boy-buzdolabi-poseti-p-1e9bb79,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
Cook Buzdolabı Poşeti Küçük 40'lı,,https://www.migros.com.tr/cook-buzdolabi-poseti-kucuk-40li-p-1e9bb25,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
Koroplast Buzdolabı Poşeti 3+1 Küçük 20X30 160'Lı,,https://www.migros.com.tr/koroplast-buzdolabi-poseti-31-kucuk-20x30-160li-p-1dc1352,"Ev, Yaşam",Mutfak Eşyaları,Mutfak Sarf Malzemesi,Buzdolabı Poşeti,,,,,,
