name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Sofra Ekmek Adet,Kepekli Ekmek,https://www.migros.com.tr/sofra-ekmek-adet-p-4e2000,"Fırın, Pastane",Ekmek,,,,,,,,
İhe Tost Ekmeği 670G,Kepekli Ekmek,https://www.migros.com.tr/ihe-tost-ekmegi-670g-p-2beb052,"Fırın, Pastane",Ekmek,,,,,,,,
İhe Tam Buğday Ekmeği 400 G,Kepekli Ekmek,https://www.migros.com.tr/ihe-tam-bugday-ekmegi-400-g-p-4d18e3,"Fırın, Pastane",Ekmek,,,,,,,,
Uno Premium Çok Tahıllı ve Siyez Buğdaylı Ekmek 350 G,Kepekli Ekmek,https://www.migros.com.tr/uno-premium-cok-tahilli-ve-siyez-bugdayli-ekmek-350-g-p-4d2a34,"Fırın, Pastane",Ekmek,,,,,,,,
Minik Sandviç Ekmeği 6'lı,Kepekli Ekmek,https://www.migros.com.tr/minik-sandvic-ekmegi-6li-p-4e2054,"Fırın, Pastane",Ekmek,,,,,,,,
İstanbul Organik Halk Ekmek 500 G,Kepekli Ekmek,https://www.migros.com.tr/istanbul-organik-halk-ekmek-500-g-p-4d1660,"Fırın, Pastane",Ekmek,,,,,,,,
İhe Çavdar Ekmeği 400 G,Çavdar Ekmeği,https://www.migros.com.tr/ihe-cavdar-ekmegi-400-g-p-4d18e2,"Fırın, Pastane",Ekmek,,,,,,,,
İyilik Tost Ekmeği 670 G,Kepekli Ekmek,https://www.migros.com.tr/iyilik-tost-ekmegi-670-g-p-4d28a0,"Fırın, Pastane",Ekmek,,,,,,,,
İyilik Sandviç Ekmeği 7X65 G,Kepekli Ekmek,https://www.migros.com.tr/iyilik-sandvic-ekmegi-7x65-g-p-4d28a1,"Fırın, Pastane",Ekmek,,,,,,,,
İyilik Tam Buğday Ekmeği 350 G,Kepekli Ekmek,https://www.migros.com.tr/iyilik-tam-bugday-ekmegi-350-g-p-4d289d,"Fırın, Pastane",Ekmek,,,,,,,,
Uno Denge Tambuğdaylı Ve Çiya Tohumlu Ekmek 350 G,Kepekli Ekmek,https://www.migros.com.tr/uno-denge-tambugdayli-ve-ciya-tohumlu-ekmek-350-g-p-4d2a36,"Fırın, Pastane",Ekmek,,,,,,,,
