name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Copier Bond Fotokopi Kağıdı A4 500 Yaprak 80 G,,https://www.migros.com.tr/copier-bond-fotokopi-kagidi-a4-500-yaprak-80-g-p-235fb7e,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Fotokopi Kağıdı,,,,,,
Fly Renkli Fotokopi Kağıdı 100Lü,,https://www.migros.com.tr/fly-renkli-fotokopi-kagidi-100lu-p-235fbd4,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Fotokopi Kağıdı,,,,,,
Sveto Copy 80G A4 Fotokopi Kağıdı 500 Yp,,https://www.migros.com.tr/sveto-copy-80g-a4-fotokopi-kagidi-500-yp-p-2360435,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Fotokopi Kağıdı,,,,,,
Copier Bond A4 80 G Fotokopi Kağıdı 5'li Paket,,https://www.migros.com.tr/copier-bond-a4-80-g-fotokopi-kagidi-5li-paket-p-2360464,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Fotokopi Kağıdı,,,,,,
Golden Star Fotokopi Kağıdı 500 G,,https://www.migros.com.tr/golden-star-fotokopi-kagidi-500-g-p-2360461,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Fotokopi Kağıdı,,,,,,
Meteksan 17X24 Cm 50 Yp Kraft Klasik Bloknot,,https://www.migros.com.tr/meteksan-17x24-cm-50-yp-kraft-klasik-bloknot-p-234d53d,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Bloknot,,,,,,
Meteksan Bloknot Pastel A5 80 Yaprak,,https://www.migros.com.tr/meteksan-bloknot-pastel-a5-80-yaprak-p-234d5bd,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Bloknot,,,,,,
Keskin Color Lisanslı Yaprak Çizgili Spiral Bloknot,,https://www.migros.com.tr/keskin-color-lisansli-yaprak-cizgili-spiral-bloknot-p-23939e5,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Bloknot,,,,,,
Fon Kartonu 50*70 10'lu,,https://www.migros.com.tr/fon-kartonu-5070-10lu-p-235fc74,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Karton,,,,,,
Krapon Kağıdı (10'Lu),,https://www.migros.com.tr/krapon-kagidi-10lu-p-235fc79,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Karton,,,,,,
Fly Kraft Kağıt 25X35 25'li Paket,,https://www.migros.com.tr/fly-kraft-kagit-25x35-25li-paket-p-2360456,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Karton,,,,,,
Fly Bristol Karton 25X35 10'lu Paket,,https://www.migros.com.tr/fly-bristol-karton-25x35-10lu-paket-p-2360455,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Karton,,,,,,
Globox Baskılı Yapışkanlı Not Kağıdı Seti,,https://www.migros.com.tr/globox-baskili-yapiskanli-not-kagidi-seti-p-236045c,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Yapışkanlı Not Kağıdı,,,,,,
Fly Notluk Yapışkanlı Mini Set,,https://www.migros.com.tr/fly-notluk-yapiskanli-mini-set-p-236045d,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Yapışkanlı Not Kağıdı,,,,,,
Fly Color Elişi Kağıdı Poşet 10'Lu,,https://www.migros.com.tr/fly-color-elisi-kagidi-poset-10lu-p-2369ad2,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,El İşi Kağıdı,,,,,,
Globox Beyaz Küp Blok,,https://www.migros.com.tr/globox-beyaz-kup-blok-p-2360437,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Not Kağıdı,,,,,,
Globox Not Kağıtları - 100 Yaprak,,https://www.migros.com.tr/globox-not-kagitlari-100-yaprak-p-2bf4ac8,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kağıt,Özel Kağıtlar,,,,,,
BIC Evolution Fluo Kurşun Kalem 4'lü Blister,,https://www.migros.com.tr/bic-evolution-fluo-kursun-kalem-4lu-blister-p-2369ae3,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
Faber Castell 2B Gold Faber Dereceli Kalem Seti 4'Lü,,https://www.migros.com.tr/faber-castell-2b-gold-faber-dereceli-kalem-seti-4lu-p-23508a5,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
BIC Evolution 650 HB Kurşun Kalem 10'lu Blister,,https://www.migros.com.tr/bic-evolution-650-hb-kursun-kalem-10lu-blister-p-2350c2c,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
Rotring Mercanlı Kurşun Kalem 4'lü Blister,,https://www.migros.com.tr/rotring-mercanli-kursun-kalem-4lu-blister-p-23519d0,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
BIC Kids Evolution Üçgen Jumbo Kurşun Kalem 2'li Blister,,https://www.migros.com.tr/bic-kids-evolution-ucgen-jumbo-kursun-kalem-2li-blister-p-2351893,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
Globox Figürlü Silgili Kalem,,https://www.migros.com.tr/globox-figurlu-silgili-kalem-p-2351953,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
Edding Asetat Kalemi Siyah,,https://www.migros.com.tr/edding-asetat-kalemi-siyah-p-235189d,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
Rotring Neon Kurşun Kalem 4'lü Blister,,https://www.migros.com.tr/rotring-neon-kursun-kalem-4lu-blister-p-23519d1,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
Faber Castel Kırmızı Kopya 8'Li Set,,https://www.migros.com.tr/faber-castel-kirmizi-kopya-8li-set-p-2351964,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
Faber Castell Bls.Jumbo Üçgen Okul Kalemi 2.5B 2'li,,https://www.migros.com.tr/faber-castell-blsjumbo-ucgen-okul-kalemi-25b-2li-p-2351a32,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
Rotring 2'li 2B Sınav Kalemi + Silgi Blister,,https://www.migros.com.tr/rotring-2li-2b-sinav-kalemi-silgi-blister-p-23519d5,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,Kurşun Kalem,,,,,,
Faber Castell Grıp Matıc Mekanik Kurşun Kalem Ve Min Seti 0.7 Mm,,https://www.migros.com.tr/faber-castell-grip-matic-mekanik-kursun-kalem-ve-min-seti-07-mm-p-235173e,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
Faber Castell Uç 120Li Tekli 0.7Mm,,https://www.migros.com.tr/faber-castell-uc-120li-tekli-07mm-p-235a645,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
"Faber-castell Econ 1351 0,7 Mm Versatil + Min Hedi",,https://www.migros.com.tr/faber-castell-econ-1351-07-mm-versatil-min-hedi-p-23518dd,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
"Rotring Visumax Versatil 0,7 Uçlu Kalem + 2B Uç Hediyeli",,https://www.migros.com.tr/rotring-visumax-versatil-07-uclu-kalem-2b-uc-hediyeli-p-23519cb,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
Faber Castell Triclick Versatil Kalem+min Seti 0.5 Mm,,https://www.migros.com.tr/faber-castell-triclick-versatil-kalemmin-seti-05-mm-p-2351792,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
Faber Castell Triclick Versatil Kalem+min Seti 0.7 Mm,,https://www.migros.com.tr/faber-castell-triclick-versatil-kalemmin-seti-07-mm-p-2351793,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
Rotring S. Polimer 2B Uç 0.5 - 4'lü Bls,,https://www.migros.com.tr/rotring-s-polimer-2b-uc-05-4lu-bls-p-23519cd,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
Rotring Tikky Versatil Siyah 0.5 Uçlu Kalem + 2B Uç Hediye,,https://www.migros.com.tr/rotring-tikky-versatil-siyah-05-uclu-kalem-2b-uc-hediye-p-2351905,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
Faber-Castell Econ Mekanik Kurşun Kalem 0.7 Uç Hediye,,https://www.migros.com.tr/faber-castell-econ-mekanik-kursun-kalem-07-uc-hediye-p-2351a05,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
Kulinart Versatil Kalem Seti,,https://www.migros.com.tr/kulinart-versatil-kalem-seti-p-2351a08,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
Faber Castell Bls Grip Min Pastel 0.5 120'li Kalem Ucu,,https://www.migros.com.tr/faber-castell-bls-grip-min-pastel-05-120li-kalem-ucu-p-2351a1d,"Kitap, Kırtasiye, Oyuncak",Kırtasiye,Kalem,"Mekanik Uçlu, Versatil Kalem",,,,,,
