name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Colgate Extra Clean Orta Diş Fırçası 1+1,Klasik,https://www.migros.com.tr/colgate-extra-clean-orta-dis-fircasi-11-p-20769c0,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Colgate Extra Clean Orta Diş Fırçası 3+1,Klasik,https://www.migros.com.tr/colgate-extra-clean-orta-dis-fircasi-31-p-2078c37,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Signal Exclusive Seyahat Seti,Klasik,https://www.migros.com.tr/signal-exclusive-seyahat-seti-p-20c37c8,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Difaş Diş Fırçası Koruma Başlığı,Diş Fırçası Kabı,https://www.migros.com.tr/difas-dis-fircasi-koruma-basligi-p-2078c9a,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Signal Diş Fırçası Charcoal,Klasik,https://www.migros.com.tr/signal-dis-fircasi-charcoal-p-2078bff,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Banat Basic 2+1 Diş Fırçası,Klasik,https://www.migros.com.tr/banat-basic-21-dis-fircasi-p-2078c07,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Signal Diş Fırçası Performans 46.5 GR 2+1,Klasik,https://www.migros.com.tr/signal-dis-fircasi-performans-465-gr-21-p-2078bf8,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Colgate 360 Komple Ağız Temizliği Orta Diş Fırçası 1+1,Klasik,https://www.migros.com.tr/colgate-360-komple-agiz-temizligi-orta-dis-fircasi-11-p-20776bf,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Parodontax Diş Eti Uzmanı Diş Fırçası 1+1,Klasik,https://www.migros.com.tr/parodontax-dis-eti-uzmani-dis-fircasi-11-p-2078c01,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Oral-B Diş Fırçası Complete Ekstra Uzun Kıllar 40 Orta 1 Alana 1 Bedava Paketi,Klasik,https://www.migros.com.tr/oral-b-dis-fircasi-complete-ekstra-uzun-killar-40-orta-1-alana-1-bedava-paketi-p-20776cd,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Oral-B Şarjlı Diş Fırçası Yedeği Incredibles 2'li,Klasik,https://www.migros.com.tr/oral-b-sarjli-dis-fircasi-yedegi-incredibles-2li-p-206f4f1,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Signal Clean Action 3+1 Diş Fırçası,Klasik,https://www.migros.com.tr/signal-clean-action-31-dis-fircasi-p-2078c38,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Colgate 360 Optik Beyaz Orta Beyazlatıcı Diş Fırçası 1+1,Klasik,https://www.migros.com.tr/colgate-360-optik-beyaz-orta-beyazlatici-dis-fircasi-11-p-20776c6,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Colgate Üçlü Etki Orta Diş Fırçası,Klasik,https://www.migros.com.tr/colgate-uclu-etki-orta-dis-fircasi-p-20776bc,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Oral-B Pro 500 Şarj Edilebilir Diş Fırçası Cross Action,Klasik,https://www.migros.com.tr/oral-b-pro-500-sarj-edilebilir-dis-fircasi-cross-action-p-20776b3,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Banat Deep Clean Black 1+1 Yetişkin Diş Fırçası,Klasik,https://www.migros.com.tr/banat-deep-clean-black-11-yetiskin-dis-fircasi-p-2078c34,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Colgate Mikro İnce Siyah Yumuşak Diş Fırçası 1+1,Klasik,https://www.migros.com.tr/colgate-mikro-ince-siyah-yumusak-dis-fircasi-11-p-2074689,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Sensodyne True White Diş Fırçası Orta,Klasik,https://www.migros.com.tr/sensodyne-true-white-dis-fircasi-orta-p-20776fa,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Parodontax Uzman Bakım 1+1 Dış Fırçası,Klasik,https://www.migros.com.tr/parodontax-uzman-bakim-11-dis-fircasi-p-2078c00,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Oral-B Yedek Başlık Cross Action 2'li,Klasik,https://www.migros.com.tr/oral-b-yedek-baslik-cross-action-2li-p-2078c8e,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Banat Sensiplus Hassas Dişler İçin Diş Fırçası,Klasik,https://www.migros.com.tr/banat-sensiplus-hassas-disler-icin-dis-fircasi-p-2076ccd,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Oral-B D100 Vitality Cross Action Beyaz Şarj Edilebilir Diş Fırçası,Klasik,https://www.migros.com.tr/oral-b-d100-vitality-cross-action-beyaz-sarj-edilebilir-dis-fircasi-p-2078c19,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Banat Bio Clean Diş Fırçası,Klasik,https://www.migros.com.tr/banat-bio-clean-dis-fircasi-p-2078c6c,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Colgate Bamboo Charcoal Yumuşak Diş Fırçası,Klasik,https://www.migros.com.tr/colgate-bamboo-charcoal-yumusak-dis-fircasi-p-2078c2c,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Colgate Extra Clean Orta Diş Fırçası 2+1,Klasik,https://www.migros.com.tr/colgate-extra-clean-orta-dis-fircasi-21-p-2078c22,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Oral-B 1-2-3 1+1 Diş Fırçası,Klasik,https://www.migros.com.tr/oral-b-1-2-3-11-dis-fircasi-p-2078c46,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Banat Ekonomik Diş Fırçası 3'Lü,Klasik,https://www.migros.com.tr/banat-ekonomik-dis-fircasi-3lu-p-2076cd0,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Biomed Black Diş Fırçası Orta,Klasik,https://www.migros.com.tr/biomed-black-dis-fircasi-orta-p-2078bf9,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
Galaxy 1+1 Diş Fırçası,Klasik,https://www.migros.com.tr/galaxy-11-dis-fircasi-p-2078c02,"Kişisel Bakım, Kozmetik, Sağlık",Ağız Bakım Ürünleri,Diş Fırçası,,,,,,,
