name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Domates Kg,Domates,https://www.migros.com.tr/domates-kg-p-1ac7780,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Migros Havuç Beypazarı Paket Kg,Havuç,https://www.migros.com.tr/migros-havuc-beypazari-paket-kg-p-1ad370d,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Domates Salkım Kg,Domates,https://www.migros.com.tr/domates-salkim-kg-p-1ac92d8,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Kabak Sakız Kg,Kabak,https://www.migros.com.tr/kabak-sakiz-kg-p-1adb000,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Patlıcan Kemer Kg,Patlıcan,https://www.migros.com.tr/patlican-kemer-kg-p-1afde98,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Domates Kokteyl Kg,Domates,https://www.migros.com.tr/domates-kokteyl-kg-p-1aca278,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Hıyar Kg,Hıyar,https://www.migros.com.tr/hiyar-kg-p-1ad3ad0,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Biber Kırmızı Kg,Biber,https://www.migros.com.tr/biber-kirmizi-kg-p-1ac0e08,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Brokoli Kg,Brokoli,https://www.migros.com.tr/brokoli-kg-p-1adfe20,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Karnabahar Kg,Karnabahar,https://www.migros.com.tr/karnabahar-kg-p-1add710,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Biber Çarliston Kg,Biber,https://www.migros.com.tr/biber-carliston-kg-p-1ac0638,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Biber Köy Usulü Kg,Biber,https://www.migros.com.tr/biber-koy-usulu-kg-p-1ac1258,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Biber Dolmalık Kg,Biber,https://www.migros.com.tr/biber-dolmalik-kg-p-1ac0a20,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Kereviz Kg,Kereviz,https://www.migros.com.tr/kereviz-kg-p-1ae2530,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Biber Sivri Kg,Biber,https://www.migros.com.tr/biber-sivri-kg-p-1ac11f0,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
Lahana Beyaz Kg,Beyaz Lahana,https://www.migros.com.tr/lahana-beyaz-kg-p-1ae7350,"Meyve, Sebze",Sebze,Mevsim Sebzeleri,,,,,,,
