name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Superfresh Pizza King 4'Lü 780 G,,https://www.migros.com.tr/superfresh-pizza-king-4lu-780-g-p-10be0bb,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Superfresh Pizza Tost 2 Adet 250 G,,https://www.migros.com.tr/superfresh-pizza-tost-2-adet-250-g-p-10be1dd,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Dr.Oetker Ristorante Mini Pizza Mista 600 G,,https://www.migros.com.tr/droetker-ristorante-mini-pizza-mista-600-g-p-10bd474,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Dr.Oetker Ristorante Mini Pizza Mozzarella 560 G,,https://www.migros.com.tr/droetker-ristorante-mini-pizza-mozzarella-560-g-p-10bd47e,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Dr.Oetker Guseppe Mozzarella Pizza 412 G,,https://www.migros.com.tr/droetker-guseppe-mozzarella-pizza-412-g-p-10be0d3,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Pizza Mi-Go Karışık Pizza Dondurulmuş 545 G,,https://www.migros.com.tr/pizza-mi-go-karisik-pizza-dondurulmus-545-g-p-4d380b,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Superfresh Pizza Tost Cheddarlı 250 G,,https://www.migros.com.tr/superfresh-pizza-tost-cheddarli-250-g-p-10be1f6,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Dr.Oetker Guseppe Sucuklu Pizza 402 G,,https://www.migros.com.tr/droetker-guseppe-sucuklu-pizza-402-g-p-10be0d4,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Pizza Mi-Go Jambon - Chedarlı 520G Dondurulmuş,,https://www.migros.com.tr/pizza-mi-go-jambon-chedarli-520g-dondurulmus-p-4d380a,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Superfresh Taş Fırın Pizza Gurme 400 G,,https://www.migros.com.tr/superfresh-tas-firin-pizza-gurme-400-g-p-10be233,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Dr.Oetker Guseppe 4 Peynirli Pizza 358G,,https://www.migros.com.tr/droetker-guseppe-4-peynirli-pizza-358g-p-10be200,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Feast Karışık Pizza 800 G,,https://www.migros.com.tr/feast-karisik-pizza-800-g-p-10be06c,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Superfresh Çikolatalı Pizza Tost 2 Adet 210 G,,https://www.migros.com.tr/superfresh-cikolatali-pizza-tost-2-adet-210-g-p-10be22f,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Dr.Oetker Ristorante Pizza Mozzarella 325 G,,https://www.migros.com.tr/droetker-ristorante-pizza-mozzarella-325-g-p-10bd4b2,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Sarıvadi Karışık Pizza 800 G,,https://www.migros.com.tr/sarivadi-karisik-pizza-800-g-p-10be241,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Superfresh Taş Fırın Cheddarlı Pizza 410 G,,https://www.migros.com.tr/superfresh-tas-firin-cheddarli-pizza-410-g-p-10be235,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Dr.Oetker Ristorante Pizza Mista 340 G,,https://www.migros.com.tr/droetker-ristorante-pizza-mista-340-g-p-10bd49c,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Pizza Mi-Go Peynirli Pizza 475 G Dondurulmuş,,https://www.migros.com.tr/pizza-mi-go-peynirli-pizza-475-g-dondurulmus-p-4d3809,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Superfresh Pizza King 2'li 390 G,,https://www.migros.com.tr/superfresh-pizza-king-2li-390-g-p-10be217,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Superfresh Taş Fırın Pizza Gurme Hediyeli 400 G,,https://www.migros.com.tr/superfresh-tas-firin-pizza-gurme-hediyeli-400-g-p-10be234,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
Pek Food Mozarella Peynirli Pizza Mix 460 G,,https://www.migros.com.tr/pek-food-mozarella-peynirli-pizza-mix-460-g-p-10be238,"Meze, Hazır Yemek, Donuk",Dondurulmuş Gıda,Dondurulmuş Hamur İşleri,Hazır Pizza,,,,,,
