name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Whiskas Biftekli Konserve Kedi Maması 400 G,,https://www.migros.com.tr/whiskas-biftekli-konserve-kedi-mamasi-400-g-p-8a8ce0,Pet Shop,Kedi,Kedi Maması,,,,,,,
Gourmet Gold Kıyılmış Hındılı 85 G,,https://www.migros.com.tr/gourmet-gold-kiyilmis-hindili-85-g-p-271ff0f,Pet Shop,Kedi,Kedi Maması,,,,,,,
Gourmet Gold Kıyılmış Tavuklu 85 G,,https://www.migros.com.tr/gourmet-gold-kiyilmis-tavuklu-85-g-p-271ff10,Pet Shop,Kedi,Kedi Maması,,,,,,,
Gourmet Gold Kıyılmış Ton Balıklı 85 G,,https://www.migros.com.tr/gourmet-gold-kiyilmis-ton-balikli-85-g-p-271ff13,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Tavuklu Konserve Kedi Maması 400 G,,https://www.migros.com.tr/whiskas-tavuklu-konserve-kedi-mamasi-400-g-p-8a8cdf,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Ton Balıklı Konserve Yaş Mama 400 G,,https://www.migros.com.tr/whiskas-ton-balikli-konserve-yas-mama-400-g-p-8a8ce1,Pet Shop,Kedi,Kedi Maması,,,,,,,
Gourmet Gold Kıyılmış Sığr Etlı 85 G,,https://www.migros.com.tr/gourmet-gold-kiyilmis-sigr-etli-85-g-p-271ff14,Pet Shop,Kedi,Kedi Maması,,,,,,,
Gourmet Gold Parça Etli Soslu Sığır Etli 85 G,,https://www.migros.com.tr/gourmet-gold-parca-etli-soslu-sigir-etli-85-g-p-271ff0e,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whıskas Tasty Mix Kuzulu & Havuçlu Yaş Mama 85 G,,https://www.migros.com.tr/whiskas-tasty-mix-kuzulu-havuclu-yas-mama-85-g-p-271ff6d,Pet Shop,Kedi,Kedi Maması,,,,,,,
Gourmet Gold Parça Etlı Somonlu Ve Tavuklu 85 G,,https://www.migros.com.tr/gourmet-gold-parca-etli-somonlu-ve-tavuklu-85-g-p-271ff12,Pet Shop,Kedi,Kedi Maması,,,,,,,
Gourmet Gold Parça Etlı Tavuklu Ve Cığerlı 85 G,,https://www.migros.com.tr/gourmet-gold-parca-etli-tavuklu-ve-cigerli-85-g-p-271ff11,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Güveç 4'Lü Paket Et Seçenekleri,,https://www.migros.com.tr/whiskas-guvec-4lu-paket-et-secenekleri-p-271fede,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Yavru Tavuklu Kuru Mama 300 G,,https://www.migros.com.tr/whiskas-yavru-tavuklu-kuru-mama-300-g-p-8a9c7d,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Etli Konserve Kedi Maması 400 G,,https://www.migros.com.tr/felix-etli-konserve-kedi-mamasi-400-g-p-27215af,Pet Shop,Kedi,Kedi Maması,,,,,,,
Gourmet Perle Sığır Etli Pouch 85 G,,https://www.migros.com.tr/gourmet-perle-sigir-etli-pouch-85-g-p-271ff00,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Biftekli Kuru Mama 300 G,,https://www.migros.com.tr/whiskas-biftekli-kuru-mama-300-g-p-8a9c7a,Pet Shop,Kedi,Kedi Maması,,,,,,,
Gourmet Perle Tavuk Etli Pouch 85 G,,https://www.migros.com.tr/gourmet-perle-tavuk-etli-pouch-85-g-p-271feff,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Tavuklu Konserve 400 G,,https://www.migros.com.tr/felix-tavuklu-konserve-400-g-p-27215b0,Pet Shop,Kedi,Kedi Maması,,,,,,,
Purina One Steril Kedi Somonlu 800 G,,https://www.migros.com.tr/purina-one-steril-kedi-somonlu-800-g-p-271fec4,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Ton Balıklı Yaş Mama 85G,,https://www.migros.com.tr/felix-ton-balikli-yas-mama-85g-p-280bede,Pet Shop,Kedi,Kedi Maması,,,,,,,
Friskies Yavru Kedi Maması 1.5 Kg,,https://www.migros.com.tr/friskies-yavru-kedi-mamasi-15-kg-p-271feb7,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Ton Balıklı Kuru Mama 300 G,,https://www.migros.com.tr/whiskas-ton-balikli-kuru-mama-300-g-p-8a9c79,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Tavuklu Kuru Mama 300 G,,https://www.migros.com.tr/whiskas-tavuklu-kuru-mama-300-g-p-8a9c7c,Pet Shop,Kedi,Kedi Maması,,,,,,,
Friskies Somonlu Kedi Maması 1.7 Kg,,https://www.migros.com.tr/friskies-somonlu-kedi-mamasi-17-kg-p-271feb6,Pet Shop,Kedi,Kedi Maması,,,,,,,
Wıiskas Etli Seçim Poşet Yaş Mama 4X85 G,,https://www.migros.com.tr/wiiskas-etli-secim-poset-yas-mama-4x85-g-p-271ff67,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whiskas Güveç Yavru Seçenekler Yaş Mama 4X85 G,,https://www.migros.com.tr/whiskas-guvec-yavru-secenekler-yas-mama-4x85-g-p-271ff17,Pet Shop,Kedi,Kedi Maması,,,,,,,
Whıskas Kümes Hayvanlı Seçim Poşet Yaş Mama 4X85 G,,https://www.migros.com.tr/whiskas-kumes-hayvanli-secim-poset-yas-mama-4x85-g-p-271ff68,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Somonlu Konserve 400 G,,https://www.migros.com.tr/felix-somonlu-konserve-400-g-p-27215ae,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Avantajlı Somonlu Ton Balıklı Yaş Mama 4x85g,,https://www.migros.com.tr/felix-avantajli-somonlu-ton-balikli-yas-mama-4x85g-p-280beee,Pet Shop,Kedi,Kedi Maması,,,,,,,
Sheba Delikatesse Gravy Soslu Sığır Etli Yaş Mama 85G,,https://www.migros.com.tr/sheba-delikatesse-gravy-soslu-sigir-etli-yas-mama-85g-p-280bc87,Pet Shop,Kedi,Kedi Maması,,,,,,,
Sheba Pouch Tavuklu 85 G,,https://www.migros.com.tr/sheba-pouch-tavuklu-85-g-p-271feb1,Pet Shop,Kedi,Kedi Maması,,,,,,,
Friskies Tavuklu Kedi Maması 1.7 Kg,,https://www.migros.com.tr/friskies-tavuklu-kedi-mamasi-17-kg-p-271feb5,Pet Shop,Kedi,Kedi Maması,,,,,,,
"Bonnie Adult Kısır. Kedi Maması Chicken 1,5 Kg",,https://www.migros.com.tr/bonnie-adult-kisir-kedi-mamasi-chicken-15-kg-p-271fefd,Pet Shop,Kedi,Kedi Maması,,,,,,,
Bestpet Premium Tavuklu Kedi Pouch 85 G,,https://www.migros.com.tr/bestpet-premium-tavuklu-kedi-pouch-85-g-p-271ff3f,Pet Shop,Kedi,Kedi Maması,,,,,,,
Felix Sensation Somon Sardalya Yaş Mama 85G,,https://www.migros.com.tr/felix-sensation-somon-sardalya-yas-mama-85g-p-280beec,Pet Shop,Kedi,Kedi Maması,,,,,,,
