name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Pınar Süzme Peynir 500 G,,https://www.migros.com.tr/pinar-suzme-peynir-500-g-p-98e0ec,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Torku Süzme Peynir 450 G,,https://www.migros.com.tr/torku-suzme-peynir-450-g-p-98e102,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Ekici Beyaz Peynir Kg,,https://www.migros.com.tr/ekici-beyaz-peynir-kg-p-98d9b9,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Migros Süzme Peynir 500 G,,https://www.migros.com.tr/migros-suzme-peynir-500-g-p-98e0f0,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Bahçıvan Dilimli Beyaz Peynir 420 G,,https://www.migros.com.tr/bahcivan-dilimli-beyaz-peynir-420-g-p-98d979,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Sütaş Süzme Peynir 250 G,,https://www.migros.com.tr/sutas-suzme-peynir-250-g-p-98d9b5,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
İçim Süzme Peynir 500 G,,https://www.migros.com.tr/icim-suzme-peynir-500-g-p-98da05,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Migros Az Yağlı Beyaz Peynir 500 G,,https://www.migros.com.tr/migros-az-yagli-beyaz-peynir-500-g-p-98da03,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
İçim Tam Yağlı Beyaz Peynir 1000 G,,https://www.migros.com.tr/icim-tam-yagli-beyaz-peynir-1000-g-p-98d500,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Pınar Süzme Peynir 100 G,,https://www.migros.com.tr/pinar-suzme-peynir-100-g-p-98e0ea,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
İçim Tam Yağlı Beyaz Peynir 500 G,,https://www.migros.com.tr/icim-tam-yagli-beyaz-peynir-500-g-p-98d502,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Yeşil Kozan Tam Yağlı Beyaz Peynir Kg,,https://www.migros.com.tr/yesil-kozan-tam-yagli-beyaz-peynir-kg-p-98d9fa,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Torku Tam Yağlı Taze Beyaz Peynir 900 G,,https://www.migros.com.tr/torku-tam-yagli-taze-beyaz-peynir-900-g-p-98e138,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Sek Tam Yağlı Beyaz Peynir 800 G,,https://www.migros.com.tr/sek-tam-yagli-beyaz-peynir-800-g-p-98e14f,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Tahsildaroğlu Tam Yağlı Beyaz Peynir 800 G,,https://www.migros.com.tr/tahsildaroglu-tam-yagli-beyaz-peynir-800-g-p-98da00,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Sütaş Light Beyaz Peynir 700 G,,https://www.migros.com.tr/sutas-light-beyaz-peynir-700-g-p-98cc37,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
İçim Süzme Peynir 250 G,,https://www.migros.com.tr/icim-suzme-peynir-250-g-p-98e0e8,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
Bahçıvan Olgunlaştırılmış Gurme Beyaz Peynir 450 G,,https://www.migros.com.tr/bahcivan-olgunlastirilmis-gurme-beyaz-peynir-450-g-p-98e0d3,"Süt, Kahvaltılık",Peynir,Beyaz Peynir,Süzme Peynir,,,,,,
