name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Oba Ayçiçek Yağı 5 L Pet,,https://www.migros.com.tr/oba-aycicek-yagi-5-l-pet-p-3eb792,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Yudum Ayçiçek Yağı 1 L,,https://www.migros.com.tr/yudum-aycicek-yagi-1-l-p-3eb841,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Migros Ayçiçek Yağı 2 L,,https://www.migros.com.tr/migros-aycicek-yagi-2-l-p-3ebaeb,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Migros Ayçiçek Yağı 1 L,,https://www.migros.com.tr/migros-aycicek-yagi-1-l-p-3ebaea,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Yudum Ayçiçek Yağı 2 L,,https://www.migros.com.tr/yudum-aycicek-yagi-2-l-p-3eb842,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Komili Ayçiçek Yağı 4 L Pet,,https://www.migros.com.tr/komili-aycicek-yagi-4-l-pet-p-3eb718,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Orkide Ayçiçek Yağı 4 L,,https://www.migros.com.tr/orkide-aycicek-yagi-4-l-p-3eb71c,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Yudum Ayçiçek Yağı 4 L Pet,,https://www.migros.com.tr/yudum-aycicek-yagi-4-l-pet-p-3eb853,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Yudum Ayçiçek Yağı 4 L,,https://www.migros.com.tr/yudum-aycicek-yagi-4-l-p-3eb848,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Komili Ayçiçek Yağı 2 L,,https://www.migros.com.tr/komili-aycicek-yagi-2-l-p-3ebafa,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Emek Ayçiçekyağı Yağı 5 L Köşeli Pet,,https://www.migros.com.tr/emek-aycicekyagi-yagi-5-l-koseli-pet-p-3eb6fe,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Komili Ayçiçek Yağı 1 L,,https://www.migros.com.tr/komili-aycicek-yagi-1-l-p-3ebaf9,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Komili Ayçiçek Yağı 5 L Pet,,https://www.migros.com.tr/komili-aycicek-yagi-5-l-pet-p-3eb6ee,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Orkide Ayçiçek Yağı Pet 3 L,,https://www.migros.com.tr/orkide-aycicek-yagi-pet-3-l-p-3eb725,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Migros Ayçiçek Yağı 5 L Köşeli Pet,,https://www.migros.com.tr/migros-aycicek-yagi-5-l-koseli-pet-p-3eb728,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Kırlangıç Ayçiçek Yağı 2 L,,https://www.migros.com.tr/kirlangic-aycicek-yagi-2-l-p-3eb96e,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Yudum Ayçiçek Yağı 3 Lt.,,https://www.migros.com.tr/yudum-aycicek-yagi-3-lt-p-3eb843,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Yudum Ayçiçek Yağı 5 L Pet Şişe,,https://www.migros.com.tr/yudum-aycicek-yagi-5-l-pet-sise-p-3eb707,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Kırlangıç Ayçiçek Yağı Pet 4 L,,https://www.migros.com.tr/kirlangic-aycicek-yagi-pet-4-l-p-3eb71b,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Orkide Ayçiçek Yağı 2 L Pet Şişe,,https://www.migros.com.tr/orkide-aycicek-yagi-2-l-pet-sise-p-3ec27c,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Migros Ayçiçek Yağı 2 L,,https://www.migros.com.tr/migros-aycicek-yagi-2-l-p-3eb727,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
Turna Ayçiçek Yağı Pet 2 L,,https://www.migros.com.tr/turna-aycicek-yagi-pet-2-l-p-3eb743,Temel Gıda,Sıvı Yağ,Ayçicek Yağı,,,,,,,
