name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Bonsai,,https://www.migros.com.tr/bonsai-p-1b8ff68,Çiçek,Canlı Bitki,,,,,,,,
Lavanta Buketi,,https://www.migros.com.tr/lavanta-buketi-p-1b908c9,Çiçek,Canlı Bitki,,,,,,,,
Solo Plant Orkide Q12,,https://www.migros.com.tr/solo-plant-orkide-q12-p-1b90249,Çiçek,Canlı Bitki,,,,,,,,
Kokulu Karanfil,,https://www.migros.com.tr/kokulu-karanfil-p-1b8fef4,Çiçek,Canlı Bitki,,,,,,,,
Mini Gül Yerli,,https://www.migros.com.tr/mini-gul-yerli-p-1b8ff6b,Çiçek,Canlı Bitki,,,,,,,,
Midi Orkide,,https://www.migros.com.tr/midi-orkide-p-1b90b16,Çiçek,Canlı Bitki,,,,,,,,
Afrika Menekşesi (Saint Paulia),,https://www.migros.com.tr/afrika-meneksesi-saint-paulia-p-1b8fe98,Çiçek,Canlı Bitki,,,,,,,,
Çuha,,https://www.migros.com.tr/cuha-p-1b8fea2,Çiçek,Canlı Bitki,,,,,,,,
Queen Rosset -Hawortia Q5.5,,https://www.migros.com.tr/queen-rosset-hawortia-q55-p-1b90b68,Çiçek,Canlı Bitki,,,,,,,,
Ecoplant Seramik Saksı Succulent,,https://www.migros.com.tr/ecoplant-seramik-saksi-succulent-p-1b90c85,Çiçek,Canlı Bitki,,,,,,,,
Kalanchoe Yerli,,https://www.migros.com.tr/kalanchoe-yerli-p-1b90244,Çiçek,Canlı Bitki,,,,,,,,
Zeytin Bonsai,,https://www.migros.com.tr/zeytin-bonsai-p-1b90bbb,Çiçek,Canlı Bitki,,,,,,,,
Midi Orkide Tek Dal Q12,,https://www.migros.com.tr/midi-orkide-tek-dal-q12-p-1b90631,Çiçek,Canlı Bitki,,,,,,,,
XXL Sümbül,,https://www.migros.com.tr/xxl-sumbul-p-1b904d8,Çiçek,Canlı Bitki,,,,,,,,
"Pılea Q8,5",,https://www.migros.com.tr/pilea-q85-p-1b90e67,Çiçek,Canlı Bitki,,,,,,,,
Atatürk Çiçeği (Poinsetia),,https://www.migros.com.tr/ataturk-cicegi-poinsetia-p-1b90a31,Çiçek,Canlı Bitki,,,,,,,,
Bodrum Papatyası,,https://www.migros.com.tr/bodrum-papatyasi-p-1b8fee6,Çiçek,Canlı Bitki,,,,,,,,
Emoji Bitki,,https://www.migros.com.tr/emoji-bitki-p-1b90b64,Çiçek,Canlı Bitki,,,,,,,,
Güz Çiçek Soğanı Paket,,https://www.migros.com.tr/guz-cicek-sogani-paket-p-1b9089e,Çiçek,Canlı Bitki,,,,,,,,
"Ecoplant Kaktüs Mix Q5,5",,https://www.migros.com.tr/ecoplant-kaktus-mix-q55-p-1b90d18,Çiçek,Canlı Bitki,,,,,,,,
"Kaktüs Rainbow Q5,5",,https://www.migros.com.tr/kaktus-rainbow-q55-p-1b90b5c,Çiçek,Canlı Bitki,,,,,,,,
"Queen Kalanchoe Q10,5",,https://www.migros.com.tr/queen-kalanchoe-q105-p-1b90952,Çiçek,Canlı Bitki,,,,,,,,
Karanfil Buketi 8 Dal,,https://www.migros.com.tr/karanfil-buketi-8-dal-p-1b90eb4,Çiçek,Canlı Bitki,,,,,,,,
Aloe Vera (Kutulu),,https://www.migros.com.tr/aloe-vera-kutulu-p-1b90c75,Çiçek,Canlı Bitki,,,,,,,,
Paşa Kılıcı (Sanseveria),,https://www.migros.com.tr/pasa-kilici-sanseveria-p-1b90330,Çiçek,Canlı Bitki,,,,,,,,
Queen Mini Kalanchoe,,https://www.migros.com.tr/queen-mini-kalanchoe-p-1b90943,Çiçek,Canlı Bitki,,,,,,,,
Kaktüs Dekoratif (Echinocactus Blister),,https://www.migros.com.tr/kaktus-dekoratif-echinocactus-blister-p-1b90b2a,Çiçek,Canlı Bitki,,,,,,,,
"Kaktüs Rainbow Q8,5",,https://www.migros.com.tr/kaktus-rainbow-q85-p-1b90b5d,Çiçek,Canlı Bitki,,,,,,,,
Taflan Q13,,https://www.migros.com.tr/taflan-q13-p-1b90cc3,Çiçek,Canlı Bitki,,,,,,,,
Aloe Vera,,https://www.migros.com.tr/aloe-vera-p-1b90355,Çiçek,Canlı Bitki,,,,,,,,
Queen Kaktüs Mix Q8.5,,https://www.migros.com.tr/queen-kaktus-mix-q85-p-1b90e6d,Çiçek,Canlı Bitki,,,,,,,,
Queen Kaktüs Mix Q5.5,,https://www.migros.com.tr/queen-kaktus-mix-q55-p-1b90e6c,Çiçek,Canlı Bitki,,,,,,,,
Kaktüs Magnet,,https://www.migros.com.tr/kaktus-magnet-p-1b90cbf,Çiçek,Canlı Bitki,,,,,,,,
Zamia Bitkisi (Zamioculcas),,https://www.migros.com.tr/zamia-bitkisi-zamioculcas-p-1b90c88,Çiçek,Canlı Bitki,,,,,,,,
Ecoplant Haworthia Mix Q9,,https://www.migros.com.tr/ecoplant-haworthia-mix-q9-p-1b90d14,Çiçek,Canlı Bitki,,,,,,,,
"Ecoplant Succulent Q8,5",,https://www.migros.com.tr/ecoplant-succulent-q85-p-1b90c9b,Çiçek,Canlı Bitki,,,,,,,,
Kaktüs Mix,,https://www.migros.com.tr/kaktus-mix-p-1b8faec,Çiçek,Canlı Bitki,,,,,,,,
Kaktüs Cereus,,https://www.migros.com.tr/kaktus-cereus-p-1b90c72,Çiçek,Canlı Bitki,,,,,,,,
Premium Mix,,https://www.migros.com.tr/premium-mix-p-1b90e6a,Çiçek,Canlı Bitki,,,,,,,,
"Ecoplant Succulent Q5,5",,https://www.migros.com.tr/ecoplant-succulent-q55-p-1b90a33,Çiçek,Canlı Bitki,,,,,,,,
Çim Adam (Rafadan Tayfa),,https://www.migros.com.tr/cim-adam-rafadan-tayfa-p-1b90d1b,Çiçek,Canlı Bitki,,,,,,,,
Dekoratif Bitki,,https://www.migros.com.tr/dekoratif-bitki-p-1b9089c,Çiçek,Canlı Bitki,,,,,,,,
Şakayık,,https://www.migros.com.tr/sakayik-p-1b8ff1d,Çiçek,Canlı Bitki,,,,,,,,
Limon Servi (Goldscrest),,https://www.migros.com.tr/limon-servi-goldscrest-p-1b904ea,Çiçek,Canlı Bitki,,,,,,,,
Mini Kalanchoe Yerli,,https://www.migros.com.tr/mini-kalanchoe-yerli-p-1b90cd5,Çiçek,Canlı Bitki,,,,,,,,
Ecoplant Beton Saksı Succulent,,https://www.migros.com.tr/ecoplant-beton-saksi-succulent-p-1b90b66,Çiçek,Canlı Bitki,,,,,,,,
Solo Plant Orkide Cascade Q12,,https://www.migros.com.tr/solo-plant-orkide-cascade-q12-p-1b9061d,Çiçek,Canlı Bitki,,,,,,,,
Dağ Palmiyesi (Chamadorea),,https://www.migros.com.tr/dag-palmiyesi-chamadorea-p-1b908c7,Çiçek,Canlı Bitki,,,,,,,,
