name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Çaykur Tiryaki Çayı 1000 G,,https://www.migros.com.tr/caykur-tiryaki-cayi-1000-g-p-2f7993,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Tomurcuk Çayı 125 G,,https://www.migros.com.tr/caykur-tomurcuk-cayi-125-g-p-2f90f7,İçecek,Çay,Dökme Çay,,,,,,,
Doğuş Karadeniz Çayı 1000 G,,https://www.migros.com.tr/dogus-karadeniz-cayi-1000-g-p-2f947e,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Altınbaş Çay 500 G,,https://www.migros.com.tr/caykur-altinbas-cay-500-g-p-2f7990,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Rize Turist Çay 1000 G,,https://www.migros.com.tr/caykur-rize-turist-cay-1000-g-p-2f7987,İçecek,Çay,Dökme Çay,,,,,,,
Doğuş Filiz Çayı 1000 G,,https://www.migros.com.tr/dogus-filiz-cayi-1000-g-p-2f7ae2,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Tiryaki 500 G,,https://www.migros.com.tr/caykur-tiryaki-500-g-p-2f7994,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Filiz Çayı 1000 G,,https://www.migros.com.tr/caykur-filiz-cayi-1000-g-p-2f94c0,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Filiz Çay 500 G,,https://www.migros.com.tr/caykur-filiz-cay-500-g-p-2f798b,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Kamelya Çay 1000 G,,https://www.migros.com.tr/caykur-kamelya-cay-1000-g-p-2f7989,İçecek,Çay,Dökme Çay,,,,,,,
Lipton İlk Hasat Çay Dökme 500 G,,https://www.migros.com.tr/lipton-ilk-hasat-cay-dokme-500-g-p-2f94cb,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur 42 Nolu Tirebolu Çayı 500 G,,https://www.migros.com.tr/caykur-42-nolu-tirebolu-cayi-500-g-p-2f9571,İçecek,Çay,Dökme Çay,,,,,,,
Tirebolu 42 Özel Üretim Siyah Çay 1000 G,,https://www.migros.com.tr/tirebolu-42-ozel-uretim-siyah-cay-1000-g-p-2f9598,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Rize Turist Çay 500 G,,https://www.migros.com.tr/caykur-rize-turist-cay-500-g-p-2f7986,İçecek,Çay,Dökme Çay,,,,,,,
Lipton Tomurcuk Earl Grey Çay Dökme 100 G,,https://www.migros.com.tr/lipton-tomurcuk-earl-grey-cay-dokme-100-g-p-2f79f6,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Çay Çiçeği 500 G,,https://www.migros.com.tr/caykur-cay-cicegi-500-g-p-2f798e,İçecek,Çay,Dökme Çay,,,,,,,
Lipton Dökme Çay Earl Grey 500 G,,https://www.migros.com.tr/lipton-dokme-cay-earl-grey-500-g-p-2f94cf,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Kamelya Çay 500 G,,https://www.migros.com.tr/caykur-kamelya-cay-500-g-p-2f7988,İçecek,Çay,Dökme Çay,,,,,,,
Doğuş Gurme Çay 1000 G,,https://www.migros.com.tr/dogus-gurme-cay-1000-g-p-2f9596,İçecek,Çay,Dökme Çay,,,,,,,
Lipton Extra Dem Siyah Çay 500 G,,https://www.migros.com.tr/lipton-extra-dem-siyah-cay-500-g-p-2f94ee,İçecek,Çay,Dökme Çay,,,,,,,
Lipton Dökme Çay Doğu Karadeniz 500 G,,https://www.migros.com.tr/lipton-dokme-cay-dogu-karadeniz-500-g-p-2f79f4,İçecek,Çay,Dökme Çay,,,,,,,
Karali Tiryaki Çay 1000 G,,https://www.migros.com.tr/karali-tiryaki-cay-1000-g-p-2f951a,İçecek,Çay,Dökme Çay,,,,,,,
Lipton Yellow Label Dökme Çay 1000 G,,https://www.migros.com.tr/lipton-yellow-label-dokme-cay-1000-g-p-2f79f2,İçecek,Çay,Dökme Çay,,,,,,,
Doğuş Tiryaki Çay 1000 G,,https://www.migros.com.tr/dogus-tiryaki-cay-1000-g-p-2f93b4,İçecek,Çay,Dökme Çay,,,,,,,
Migros Filiz Siyah Çay 1000 G,,https://www.migros.com.tr/migros-filiz-siyah-cay-1000-g-p-2f9638,İçecek,Çay,Dökme Çay,,,,,,,
Karali Karadeniz Filiz Çayı 1000 G,,https://www.migros.com.tr/karali-karadeniz-filiz-cayi-1000-g-p-2f9508,İçecek,Çay,Dökme Çay,,,,,,,
Migros Rize Siyah Çay 1000 G,,https://www.migros.com.tr/migros-rize-siyah-cay-1000-g-p-2f9635,İçecek,Çay,Dökme Çay,,,,,,,
Tirebolu 42 Özel Üretim Siyah Çay 500 G,,https://www.migros.com.tr/tirebolu-42-ozel-uretim-siyah-cay-500-g-p-2f9591,İçecek,Çay,Dökme Çay,,,,,,,
Migros Bergamot Aromalı Siyah Çay 500 G,,https://www.migros.com.tr/migros-bergamot-aromali-siyah-cay-500-g-p-2f9637,İçecek,Çay,Dökme Çay,,,,,,,
Lipton Doğu Karadeniz Dökme Çay 1000 G,,https://www.migros.com.tr/lipton-dogu-karadeniz-dokme-cay-1000-g-p-2f79f3,İçecek,Çay,Dökme Çay,,,,,,,
Tirebolu 42 Filiz Çay 1000 G,,https://www.migros.com.tr/tirebolu-42-filiz-cay-1000-g-p-2f95a9,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Çay Çiçeği 200 G,,https://www.migros.com.tr/caykur-cay-cicegi-200-g-p-2f798d,İçecek,Çay,Dökme Çay,,,,,,,
Lipton Yellow Label Dökme Çay 500 G,,https://www.migros.com.tr/lipton-yellow-label-dokme-cay-500-g-p-2f79eb,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Altınbaş 200 G,,https://www.migros.com.tr/caykur-altinbas-200-g-p-2f799d,İçecek,Çay,Dökme Çay,,,,,,,
Doğadan Altın Yaprak Siyah Çay 250 G,,https://www.migros.com.tr/dogadan-altin-yaprak-siyah-cay-250-g-p-2f942b,İçecek,Çay,Dökme Çay,,,,,,,
Efor Çamlıca Siyah Çay 1 Kg,,https://www.migros.com.tr/efor-camlica-siyah-cay-1-kg-p-2f9628,İçecek,Çay,Dökme Çay,,,,,,,
Efor Harman Siyah Çay 1 Kg,,https://www.migros.com.tr/efor-harman-siyah-cay-1-kg-p-2f962b,İçecek,Çay,Dökme Çay,,,,,,,
Doğuş Filiz Çayı 500 G,,https://www.migros.com.tr/dogus-filiz-cayi-500-g-p-2f7ab3,İçecek,Çay,Dökme Çay,,,,,,,
Doğadan Büyülü Kutu Earl Grey 70 G,,https://www.migros.com.tr/dogadan-buyulu-kutu-earl-grey-70-g-p-2fd378,İçecek,Çay,Dökme Çay,,,,,,,
Doğadan Büyülü Harman Siyah Çay 900 G,,https://www.migros.com.tr/dogadan-buyulu-harman-siyah-cay-900-g-p-2f95a6,İçecek,Çay,Dökme Çay,,,,,,,
Doğadan Büyülü Kutu Masala Chai 70 G,,https://www.migros.com.tr/dogadan-buyulu-kutu-masala-chai-70-g-p-2fd377,İçecek,Çay,Dökme Çay,,,,,,,
Efor Opa Ceylon Siyah Çay 400 G,,https://www.migros.com.tr/efor-opa-ceylon-siyah-cay-400-g-p-2f9634,İçecek,Çay,Dökme Çay,,,,,,,
Migros Harman Siyah Çay 1000 G,,https://www.migros.com.tr/migros-harman-siyah-cay-1000-g-p-2f9636,İçecek,Çay,Dökme Çay,,,,,,,
Lipton Dökme Çay Golden Ceylon 500 G,,https://www.migros.com.tr/lipton-dokme-cay-golden-ceylon-500-g-p-2fa0fa,İçecek,Çay,Dökme Çay,,,,,,,
Çaykur Mezopotamya Çayı 400 G,,https://www.migros.com.tr/caykur-mezopotamya-cayi-400-g-p-2f95b1,İçecek,Çay,Dökme Çay,,,,,,,
Tirebolu 42 Çay Teneke Kutu 350 G,,https://www.migros.com.tr/tirebolu-42-cay-teneke-kutu-350-g-p-2f95ae,İçecek,Çay,Dökme Çay,,,,,,,
Migros Filiz Siyah Çay 500 G,,https://www.migros.com.tr/migros-filiz-siyah-cay-500-g-p-2f9639,İçecek,Çay,Dökme Çay,,,,,,,
Ahmad Tea Special Blend Dökme Çay 400 G,,https://www.migros.com.tr/ahmad-tea-special-blend-dokme-cay-400-g-p-2faa9c,İçecek,Çay,Dökme Çay,,,,,,,
Efor Tomurcuk Bergamot Aromalı Siyah Çay 100 G,,https://www.migros.com.tr/efor-tomurcuk-bergamot-aromali-siyah-cay-100-g-p-2f9633,İçecek,Çay,Dökme Çay,,,,,,,
Doğuş Tomurcuk Early Grey Karton Kutu 100 Gr,,https://www.migros.com.tr/dogus-tomurcuk-early-grey-karton-kutu-100-gr-p-2f93d6,İçecek,Çay,Dökme Çay,,,,,,,
Tirebolu Earl Grey Siyah Çay 1 Kg,,https://www.migros.com.tr/tirebolu-earl-grey-siyah-cay-1-kg-p-2f963f,İçecek,Çay,Dökme Çay,,,,,,,
Ahmad Tea Ceylon Tea Dökme Çay 400 G,,https://www.migros.com.tr/ahmad-tea-ceylon-tea-dokme-cay-400-g-p-2faa9a,İçecek,Çay,Dökme Çay,,,,,,,
Efor Bergamotlu Siyah Çay 500 G,,https://www.migros.com.tr/efor-bergamotlu-siyah-cay-500-g-p-2f962c,İçecek,Çay,Dökme Çay,,,,,,,
Efor Filiz Yoğun Dem Siyah Çay 500 G,,https://www.migros.com.tr/efor-filiz-yogun-dem-siyah-cay-500-g-p-2f962f,İçecek,Çay,Dökme Çay,,,,,,,
Ahmad Tea English Breakfast Dökme Çay 400 G,,https://www.migros.com.tr/ahmad-tea-english-breakfast-dokme-cay-400-g-p-2faa9b,İçecek,Çay,Dökme Çay,,,,,,,
Karali Hediyelik Siyah Çay 1000 G,,https://www.migros.com.tr/karali-hediyelik-siyah-cay-1000-g-p-2f94e2,İçecek,Çay,Dökme Çay,,,,,,,
Lipton Demlik Poşet Çay Earl Grey 48'Li 153G,,https://www.migros.com.tr/lipton-demlik-poset-cay-earl-grey-48li-153g-p-2f81ba,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Doğuş Earl Grey Demlik Poşet Çay 100'Lü 320 G,,https://www.migros.com.tr/dogus-earl-grey-demlik-poset-cay-100lu-320-g-p-2f93b6,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Lipton Demlik Poşet Çay Earl Grey 100'Lü 320 G,,https://www.migros.com.tr/lipton-demlik-poset-cay-earl-grey-100lu-320-g-p-2f81be,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Lipton Demlik Poşet Çay Yellow Label 100'Lü,,https://www.migros.com.tr/lipton-demlik-poset-cay-yellow-label-100lu-p-2f81bc,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Altınbaş Demlik Poşet Çay40'lı 200 G,,https://www.migros.com.tr/altinbas-demlik-poset-cay40li-200-g-p-2f957d,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Lipton Extra Dem Demlik Poşet Çay 100'Lü 320 G,,https://www.migros.com.tr/lipton-extra-dem-demlik-poset-cay-100lu-320-g-p-2f9505,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Çaykur Demlik Poşet Çay 40'Lı 200 G,,https://www.migros.com.tr/caykur-demlik-poset-cay-40li-200-g-p-2f8155,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Doğuş Earl Grey Demlik Poşet Çay 48'Li 153 G,,https://www.migros.com.tr/dogus-earl-grey-demlik-poset-cay-48li-153-g-p-2f828f,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Lipton Doğu Karadeniz Demlik Poşet Çay 120'li 384 G,,https://www.migros.com.tr/lipton-dogu-karadeniz-demlik-poset-cay-120li-384-g-p-2f94f8,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Doğuş Karadeniz Demlik Poşet Çay 100'Lü 320 G,,https://www.migros.com.tr/dogus-karadeniz-demlik-poset-cay-100lu-320-g-p-2f94dc,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Doğadan Earl Grey Demlik Poşet Çay 320 G 100'lü,,https://www.migros.com.tr/dogadan-earl-grey-demlik-poset-cay-320-g-100lu-p-2f9457,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Doğuş Black Label Demlik Poşet Çay 100'Lü 320 G,,https://www.migros.com.tr/dogus-black-label-demlik-poset-cay-100lu-320-g-p-2f8290,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Lipton Demlik Poşet Çay Doğu Karadeniz 48'li 153 G,,https://www.migros.com.tr/lipton-demlik-poset-cay-dogu-karadeniz-48li-153-g-p-2f944f,İçecek,Çay,Demlik Poşet Çay,,,,,,,
Karali Premıum Demlik Poşet Siyah Çay 25'li 300G,,https://www.migros.com.tr/karali-premium-demlik-poset-siyah-cay-25li-300g-p-2f95b0,İçecek,Çay,Demlik Poşet Çay,,,,,,,
